,Taylor&Francis,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Links to Worldcat: https://worldcat.org/title/OCN,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Title,Publisher,Platform_YOP,Platform_eISBN,OCN,agreement_code,collection_name,title_metadata_last_modified,Acadia Univ.,Algoma Univ.,Athabasca Univ.,Bishop's Univ.,Brandon Univ.,Brock Univ.,Cape Breton Univ.,Capilano Univ.,Carleton Univ.,Concordia Univ.,Concordia Univ. of Edmonton,Dalhousie Univ.,École nationale d'administration publique,École de technologie supérieure,HEC Montréal,Institut national de la recherche scientifique,Kwantlen Polytechnic Univ.,Lakehead Univ.,Laurentian Univ.,MacEwan Univ,McGill Univ.,McMaster Univ.,Memorial Univ. of Newfoundland,Mount Allison Univ.,Mount Royal Univ.,Mount Saint Vincent Univ.,Nipissing Univ.,NSCAD Univ.,OCAD Univ.,Polytechnique Montréal,Queen's University,Royal Military College,Royal Roads Univ.,Ryerson Univ.,Saint Mary's Univ.,Simon Fraser Univ.,St. Francis Xavier Univ.,TÉLUQ,The King's Univ.,Thompson Rivers Univ.,Trent Univ.,Trinity Western Univ.,Univ. de Moncton,Univ. de Montréal,Univ. de Sherbrooke,Univ. du Québec à Chicoutimi,Univ. du Québec à Montréal,Univ. du Québec à Rimouski,Univ. du Québec à Trois-Rivières,Univ. du Québec en Abitibi-Témiscamingue,Univ. du Québec en Outaouais,Univ. Laval,Univ. Sainte-Anne,Univ. of Alberta,Univ. of British Columbia,Univ. of Calgary,Univ. of Guelph,Univ. of Lethbridge,Univ. of Manitoba,Univ. of New Brunswick,Univ. of Northern British Columbia,Univ. of Ontario Institute of Technology,Univ. of Ottawa,Univ. of Prince Edward Island,Univ. of Regina,Univ. of Saskatchewan,Univ. of the Fraser Valley,Univ. of Toronto,Univ. of Victoria,Univ. of Waterloo,Univ. of Windsor,Univ. of Wininpeg,Vancouver Island Univ.,Western Univ.,Wilfrid Laurier Univ.,York Univ.
2,'Bread and Circuses' : Euergetism and municipal patronage in Roman Italy,Taylor & Francis Group,2002,9780203994948,50028694,acode,collname,2023-05-01 00:00:00,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y
3,"'Let us die that we may live' : Greek homilies on Christian Martyrs from Asia Minor, Palestine and Syria c.350-c.450 AD",Taylor & Francis Group,2003,9780203413456,51046949,acode,collname,2023-05-01 00:00:00,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y
4,'Other Kinds of Dreams' : Black Women's Organisations and the Politics of Transformation,Taylor & Francis Group,1998,9780203981566,39329991,acode,collname,2023-05-01 00:00:00,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y
5,"'Race', Class and Gender in Exclusion from School",Routledge,2002,9780203487020,191035321,acode,collname,2023-05-01 00:00:00,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y
6,'Tis Pity She's A Whore : John Ford,Taylor & Francis Group,1997,9780203134948,1058093439,acode,collname,2023-05-01 00:00:00,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y
7,‘Mixed Race’ Studies: A Reader,Taylor & Francis,2004,,,acode,collname,2023-05-01 00:00:00,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y
8,"(Con)Fusing Signs and Postmodern Positions : Spanish American Performance, Experimental Writing, and the Critique of Political Confusion",Taylor & Francis Group,1999,9780203016756,252935861,acode,collname,2023-05-01 00:00:00,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y
9,(Re-)Reading Bede : The Ecclesiastical History in Context,Taylor & Francis Group,2006,9780203307106,64510352,acode,collname,2023-05-01 00:00:00,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y
